Hugo_Symbol	Entrez_Gene_Id	GTEX-S32W-1526-SM-4AD6Z	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ	GTEX-TML8-0726-SM-4DXTT	GTEX-T5JW-0726-SM-4DM6D	GTEX-S341-1126-SM-4AD6T	GTEX-T6MO-1426-SM-4DM73	GTEX-S341-1326-SM-4AD72	GTEX-S4UY-1426-SM-4AD6Y	GTEX-TSE9-2726-SM-4DXSQ	GTEX-S32W-1626-SM-4AD6G
PDGFD	80310	351.14	728.11	476.71	105.15	2555.58	2609.3	1286.18	915.51	480.04	2119.22	307.69
SHANK3	85358	529.06	63.89	62.56	329.84	91.41	303.44	226.54	122.64	414.87	64.34	507.46
FABP3	2170	2875.3	1487.87	7.94	1870.53	105.89	1806.78	260.38	620.67	2701.35	764.36	1769.57
TSPAN4	7106	1487.87	4671.57	126.12	6294.04	665.29	3039.3	3443.31	1651	3665.02	4736.79	928.3
HIST1H2BJ	8970	29.27	579.04	3235.01	19.11	41.52	28.04	77.25	102.97	38.12	718.08	32.82
OSBPL6	114880	21.01	16.15	239.52	8.51	616.37	13.52	9.78	122.64	12.36	12.64	26.47
GID4	79018	169.07	137.14	412	181.28	232.94	215.77	202.66	183.82	202.66	178.77	224.97
SERINC2	347735	384.34	208.38	11189.6	309.83	7130.55	497	12589.08	12160.22	450.94	348.71	371.22
USP14	9097	928.3	255	633.73	400.71	607.87	457.25	339.14	341.51	432.53	295.11	967.76
AL163636.6	0	303.44	1457.23	27.84	738.29	384.34	3540.14	981.29	2468.49	157.68	4010.71	460.44
AGAP4	119016	119.26	36.27	42.71	88.26	64.34	162.14	94.67	273.37	133.36	14.14	122.64
LTB4R	1241	138.1	164.42	18819.27	121.79	41188.81	48.87	460.44	226.54	87.65	89.51	82.87
HOXA10	3206	406.31	142.01	21.16	947.83	92.7	1733.13	571.05	1044.52	1008.9	194.36	444.72
C10orf53	282966	1.35	0	0	0	0	0.77	2.76	52.82	1.38	0	0
SLC25A20	788	583.07	183.82	205.5	400.71	297.17	356.05	291.04	229.72	307.69	199.85	518.15
SEPT10	151011	802.41	780.44	4328.55	872.1	2032.85	1662.49	669.92	1001.93	1407.55	878.17	1008.9
YES1	7525	429.54	297.17	967.76	400.71	470.14	497	361.04	423.61	536.45	403.5	642.59
KRTAP19-8	728299	0	4.31	0	0	0	3.82	0	0	0	0	0
FAM69C	125704	7.46	16.27	0.67	144.01	38.4	9.06	256.78	32.36	35.25	3.32	18.16
AWAT1	158833	0	0	1	0	0	0.57	0	0	0.87	0	0
IDH3B	3420	1721.16	2739.08	896.64	1322.37	2520.38	1697.45	2032.85	1950	1896.65	2502.97	1508.65
KCNJ13	3769	1.07	1.3	3.47	0	1.93	1.75	3.11	0	0	2.32	0
NUDT4	11163	2875.3	1304.15	406.31	1286.18	500.46	1745.2	1037.29	1268.46	1605.83	1313.23	3349.13
PCDHGB6	56100	78.89	130.6	11.91	808	78.89	318.57	24.99	73.03	293.07	67.12	132.44
UPK3B	80761	1.13	38.12	15392.14	10.88	974.5	67.59	267.73	543.96	6.16	50.63	1.3
COL9A1	1297	0.21	11.04	74.06	4.98	10368.08	21.01	7.75	4.58	11.82	0.18	0
NCOA5	57727	733.19	457.25	147.06	884.29	555.41	660.68	575.03	679.29	511	500.46	890.44
CREBBP	1387	316.37	397.93	126.12	450.94	231.32	718.08	470.14	693.58	638.15	432.53	309.83
OSBP2	23762	16.03	23.59	180.02	4.86	127.89	12.64	13.42	63	43.32	54.72	13.52
CCDC102B	79839	46.18	52.08	53.95	65.72	25.35	64.34	113.56	76.17	82.29	30.34	49.56
COX6C	1345	9606.86	8840.04	6250.56	10296.45	9025.81	9540.5	7911.95	6516.03	16960.78	7589.61	10225.32
CLASRP	11129	1059.11	1697.45	693.58	825	1037.29	830.75	1199.98	967.76	780.44	1529.73	860.08
ZNF275	10838	142.01	53.95	24.46	256.78	67.59	237.86	511	334.46	215.77	53.95	194.36
NAA16	79612	234.57	414.87	161.02	185.11	325.29	409.15	381.68	403.5	316.37	521.76	271.48
VAV2	7410	320.8	197.09	37.85	353.59	110.43	483.38	346.29	444.72	341.51	158.79	312
MAP3K3	4215	305.55	447.82	154.42	441.64	241.19	718.08	587.13	441.64	490.14	483.38	521.76
